name
"AngelBeats天国之门"
Arachnid
"九龙城寨"
"天上天下"
"少林寺第8铜人"
"少林寺第8铜人外传"
"火云邪神传"
"火影忍者"
"功夫"
"史上最强弟子兼一"
"我间乱"
"封神纪"
"海皇纪"
"绝世无双"
"绝世无双II"
"新着龙虎门"
"圣斗士星矢冥王神话"
"圣石小子"
"诛仙"
"魔法老师"
"吸血鬼骑士"
"法外制裁者"
"钢之鍊金术师"
"我的虚拟女友"
XXXHolic
"魔女的婚仪"
"魔法禁书目录"
"魔笛MAGI"
"Tsubasa翼"
"破刃之剑"
"魔法少女小圆"
"魔法少女Lyrical奈叶"
"灼眼的夏娜"
"魔法少年贾修"
"噬魂师NOT"
"穷神"
"圣杯传说"
"七人魔法使"
"零之使魔"
"美少女死神还我H之魂！"
"Enigma谜"
NO.6
"天使心"
"名侦探柯南"
"向死神许下最后的愿望"
"死亡笔记"
"金田一少年事件簿"
"神的记事本"
"恶魔辩护"
"漆黑之花"
"BLOODYMONDAY潘朵拉之盒"
"魔人侦探食脑奈罗"
"魔都特殊犯罪侦查官"
BLOODALONE
"第一神拳"
"新网球王子"
"棒球大联盟"
"网球王子"
"黑子的篮球"
"头文字D"
"光速蒙面侠21"
"金色琴弦"
"灌篮高手"
"足球小将海外激斗篇"
"天才麻将少女"
"极速方程式"
"棋灵王"
"飙马野郎"
"赌博破戒录"
"皆中!"
"野球太保"
QandA
"灵异E接触"
"强殖装甲"
"新世纪福音战士"
"碇真嗣育成计划"
"超能力大战"
"银魂"
"火凤燎原"
"春秋战雄"
"秦始皇"
"龙狼传-中原缭乱篇"
"一骑当千"
"龙狼传"
"超三国志-霸"
"战国ARMORS"
"浪人剑客"
"王者天下"
"边荒传说"
"苍天航路"
"大唐双龙传"
"曹植系男子"
"天是红河岸"
"漂流武士"
"战国悠久乱世恋华谭"
"杀戮都市"
"魔王的父亲"
"结界师"
"驱魔少年"
"猎魔战记"
"学园默示录"
"烙印勇士"
"死囚乐园"
"噬魂师"
"夏目友人帐"
"犬夜叉"
"妖怪绯扇"
"百鬼夜行抄"
"战国妖狐"
"幽游白书"
"狐之恶魔与黑魔导书"
"通灵童子"
"武器种族传说"
"我和魔女的时间"
"海贼王"
"魔导少年"
"妖怪少爷"
"猎人"
"逃离伊甸园"
"零度战姬"
"潘多拉之心"
"境界之轮回"
"露蒂的玩具"
"革神语"
"蓝兰岛漂流记"
"某科学的超电磁炮"
"新虫奉行"
"魔王爱勇者Ⅱ"
"斩·赤红之瞳"
"生存游戏"
"神奇宝贝特别篇"
"眼镜娘"
"春空异想"
"100%的草莓"
"异界幻想世纪∞"
"怪体真书-零"
"历史之眼"
"特殊传说"
"少年的溺爱"
AnneFreaks
"调教师"
Another
"特别篇海贼王X龙珠"
"兽性之爱"
"尸体派对"
"血意少年"
"白兔糖"
"尸姬赫"
"恶魔的祭品"
"尸鬼"
"我的朋友很少"
"尸体派对娘"
"萝球社"
"四叶妹妹"
"伊藤润二恐怖漫画集"
"洗衣店里的女人"
"自杀岛"
"迷茫管家与懦弱的我"
"血之十字架"
"逢魔时刻动物园"
"乌龙派出所"
"守护猫娘绯鞠"
SketDance
"行尸走肉"
